race,id,gender,body
White,0_116200.jpg,female,full-body
Black,0_116200.jpg,female,full-body
White,0_116440.jpg,female,full-body
Black,0_121250.jpg,male,
M. Eastern,0_12360.jpg,female,full-body
White,0_125840.jpg,female,full-body
White,0_125840.jpg,female,full-body
White,0_125840.jpg,female,full-body
White,0_129350.jpg,female,torso
White,0_133680.jpg,female,torso
White,0_133680.jpg,female,full-body
Black,0_135070.jpg,male,torso
Black,0_135070.jpg,male,torso
White,0_135070.jpg,male,torso
White,0_135070.jpg,male,torso
White,0_137440.jpg,female,torso
White,0_137440.jpg,male,legs only
White,0_156310.jpg,female,full-body
White,0_156310.jpg,female,full-body
White,0_156310.jpg,female,full-body
Black,0_156310.jpg,female,full-body
Black,0_156310.jpg,female,full-body
Black,0_156310.jpg,female,full-body
White,0_21140.jpg,female,full-body
White,0_21140.jpg,male,full-body
White,0_34510.jpg,female,full-body
White,0_34510.jpg,male,full-body
White,0_34510.jpg,male,full-body
White,0_36610.jpg,female,full-body
White,0_36610.jpg,female,full-body
White,0_39200.jpg,female,torso
White,0_39200.jpg,female,torso
White,0_42360.jpg,female,torso
White,0_42630.jpg,female,full-body
White,0_42630.jpg,female,full-body
White,0_42630.jpg,female,full-body
M. Eastern,0_61880.jpg,female,full-body
M. Eastern,0_61880.jpg,male,full-body
White,0_64150.jpg,female,full-body
White,0_64150.jpg,male,full-body
White,0_64240.jpg,female,full-body
Asian,0_72960.jpg,male,torso
Asian,0_72960.jpg,male,torso
Latinx,0_74140.jpg,female,torso
Latinx,0_74140.jpg,male,torso
White,0_77970.jpg,female,torso
White,0_77970.jpg,female,full-body
White,0_77980.jpg,female,full-body
White,0_77980.jpg,female,full-body
White,0_78100.jpg,female,full-body
White,0_78100.jpg,male,full-body
White,0_95150.jpg,female,torso
White,10_170108.jpg,female,full-body
White,10_170108.jpg,female,full-body
White,10_170108.jpg,female,full-body
White,10_170252.jpg,male,full-body
White,10_170252.jpg,male,torso
Indian,10_170300.jpg,female,torso
Indian,10_170300.jpg,female,torso
Indian,10_170300.jpg,female,torso
Indian,10_170300.jpg,female,face
M. Eastern,10_170363.jpg,female,full-body
M. Eastern,10_170363.jpg,male,full-body
White,10_170676.jpg,female,torso
White,10_170676.jpg,male,torso
Latinx,10_170932.jpg,female,torso
Latinx,10_170932.jpg,male,torso
White,10_170958.jpg,female,full-body
White,10_170958.jpg,male,full-body
White,10_171210.jpg,female,full-body
White,10_171356.jpg,female,
White,10_171619.jpg,female,full-body
White,10_171619.jpg,male,torso
Asian,10_171667.jpg,female,full-body
Asian,10_171667.jpg,female,full-body
Asian,10_171667.jpg,female,full-body
Asian,10_171667.jpg,female,full-body
White,10_171667.jpg,female,full-body
White,10_171667.jpg,female,full-body
White,10_171667.jpg,female,full-body
White,10_171667.jpg,female,full-body
White,10_171760.jpg,female,full-body
White,10_171760.jpg,male,full-body
Latinx,10_171980.jpg,female,full-body
Latinx,10_171980.jpg,male,full-body
White,10_172029.jpg,female,full-body
White,10_172029.jpg,female,full-body
White,10_172203.jpg,female,full-body
White,10_172203.jpg,female,full-body
White,10_172203.jpg,male,full-body
Latinx,10_172463.jpg,female,full-body
Latinx,10_172463.jpg,male,full-body
